group,value,success
VC,4.2,0
VC,11.5,0
VC,7.3,0
VC,5.8,0
VC,6.4,0
VC,10.0,0
VC,11.2,0
VC,11.2,0
VC,5.2,0
VC,7.0,0
VC,16.5,0
VC,16.5,0
VC,15.2,0
VC,17.3,0
VC,22.5,1
VC,17.3,0
VC,13.6,0
VC,14.5,0
VC,18.8,0
VC,15.5,0
VC,23.6,1
VC,18.5,0
VC,33.9,1
VC,25.5,1
VC,26.4,1
VC,32.5,1
VC,26.7,1
VC,21.5,1
VC,23.3,1
VC,29.5,1
OJ,15.2,0
OJ,21.5,1
OJ,17.6,0
OJ,9.7,0
OJ,14.5,0
OJ,10.0,0
OJ,8.2,0
OJ,9.4,0
OJ,16.5,0
OJ,9.7,0
OJ,19.7,0
OJ,23.3,1
OJ,23.6,1
OJ,26.4,1
OJ,20.0,1
OJ,25.2,1
OJ,25.8,1
OJ,21.2,1
OJ,14.5,0
OJ,27.3,1
OJ,25.5,1
OJ,26.4,1
OJ,22.4,1
OJ,24.5,1
OJ,24.8,1
OJ,30.9,1
OJ,26.4,1
OJ,27.3,1
OJ,29.4,1
OJ,23.0,1
