param,mean,sd,hdi_3,hdi_97,dataset,group,n,success
p_I,0.38389750721561305,0.13010388861848673,0.14069174429447914,0.6225624423650521,anscombe,I,11.0,4.0
p_II,0.615396167086354,0.12992656323863463,0.3749717458749436,0.8526512519501298,anscombe,II,11.0,7.0
P(II>I),0.88895,,,,anscombe,,,
lift_median,0.6288329770516263,,,,anscombe,,,
lift_30_percentile,0.3173656614370917,,,,anscombe,,,
p_VC,0.34336851776446664,0.08258298107200414,0.19049169979977473,0.49814531786836186,toothgrowth,VC,30.0,10.0
p_OJ,0.6242649764671975,0.08481795120368016,0.45913251408830386,0.7749948212638429,toothgrowth,OJ,30.0,19.0
P(OJ>VC),0.9892,,,,toothgrowth,,,
lift_median,0.832315680211697,,,,toothgrowth,,,
lift_30_percentile,0.5894904232551492,,,,toothgrowth,,,
