total_bill,tip,sex,smoker,day,time,size
40.05,4.19,Male,No,Sun,Dinner,4
25.31,4.48,Female,No,Sat,Dinner,4
43.78,3.76,Male,Yes,Sun,Lunch,4
36.68,4.37,Female,No,Sat,Dinner,1
10.14,2.08,Female,Yes,Fri,Dinner,5
48.93,12.07,Male,No,Thur,Dinner,3
39.49,5.71,Female,Yes,Sun,Dinner,2
40.59,5.91,Male,No,Sun,Dinner,3
11.64,1.72,Female,No,Thur,Dinner,5
25.82,3.1,Male,No,Sat,Dinner,5
22.32,4.05,Male,Yes,Thur,Dinner,5
46.78,5.57,Male,No,Sat,Dinner,3
34.33,3.18,Male,Yes,Sun,Dinner,4
42.2,4.15,Male,Yes,Thur,Lunch,2
25.51,2.61,Female,No,Fri,Lunch,4
16.0,3.03,Male,No,Thur,Dinner,4
30.4,4.18,Female,No,Sat,Dinner,2
8.81,2.47,Male,No,Sun,Lunch,2
42.42,4.88,Male,Yes,Thur,Lunch,1
33.79,4.56,Female,No,Fri,Dinner,1
39.36,5.61,Female,Yes,Sun,Lunch,3
21.6,2.81,Male,No,Fri,Dinner,3
48.71,4.42,Male,Yes,Thur,Lunch,1
45.3,4.94,Female,No,Fri,Lunch,3
40.25,4.71,Female,Yes,Sat,Dinner,4
14.56,2.0,Female,Yes,Sat,Lunch,2
26.54,2.44,Male,No,Fri,Lunch,2
7.93,2.17,Male,No,Sun,Lunch,2
12.79,1.72,Female,No,Sat,Lunch,3
36.05,4.65,Female,No,Fri,Lunch,2
38.77,5.4,Male,No,Sun,Lunch,4
48.57,6.4,Male,No,Sun,Lunch,2
20.34,3.65,Male,No,Fri,Lunch,3
22.3,3.09,Female,Yes,Thur,Dinner,2
26.66,3.23,Male,No,Sat,Dinner,1
14.34,2.28,Male,No,Sat,Dinner,4
11.72,0.5,Male,No,Thur,Lunch,2
26.93,2.23,Female,Yes,Sat,Dinner,2
15.98,1.21,Male,No,Sun,Dinner,4
35.47,3.58,Male,Yes,Thur,Dinner,5
25.23,3.9,Male,No,Sat,Lunch,4
42.64,8.42,Male,Yes,Thur,Lunch,5
36.81,4.34,Female,Yes,Sat,Lunch,5
19.74,4.22,Male,No,Fri,Lunch,3
42.62,4.97,Male,Yes,Thur,Dinner,4
41.41,5.94,Female,Yes,Sun,Dinner,2
23.05,2.34,Male,No,Thur,Lunch,3
18.69,2.61,Female,No,Sat,Dinner,3
36.03,3.68,Female,Yes,Thur,Dinner,5
12.15,1.79,Male,Yes,Sun,Lunch,5
14.8,3.24,Female,No,Sat,Dinner,3
6.32,0.5,Male,No,Sun,Lunch,4
40.62,5.55,Female,No,Fri,Dinner,2
35.25,4.79,Male,Yes,Fri,Lunch,5
37.03,4.14,Female,Yes,Sat,Dinner,3
40.35,3.64,Female,Yes,Sun,Dinner,3
26.19,3.67,Female,Yes,Sun,Dinner,4
31.02,3.58,Male,No,Thur,Dinner,4
12.15,2.36,Male,Yes,Sat,Dinner,1
11.04,2.03,Male,No,Thur,Dinner,2
